id;nome;popularidade;seguidores;genero;spotify;imagem
0Y5tJX1MQlPlqiwlOH1tJY;Travis Scott;98;9725107;['rap'];https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY;https://i.scdn.co/image/fec51156ed94b7ee30fbd4c7fd29b4a840e7daec
4MCBfE4596Uoi2O4DtmEMz;Juice WRLD;96;9581538;chicago rap;https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz;https://i.scdn.co/image/d8e62447a338a882b490460da20e90aac6d60ae7
246dkjvS1zLTtiykXe5h60;Post Malone;95;25310270;dfw rap;https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60;https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
66CXWjxzNUsdJxJ2JdwvnR;Ariana Grande;94;45915194;dance pop;https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR;https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran;93;63977165;pop;https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V;https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
6LuN9FCkKOj5PcnpouEgny;Khalid;93;11499719;alternative r&b;https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny;https://i.scdn.co/image/05da6a798c59e8ab7102d77c8deb79d67a1360ed
06HL4z0CvFAxyc27GXpf02;Taylor Swift;92;29262365;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02;https://i.scdn.co/image/62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
50co4Is1HCEo8bhOyUWKpn;Young Thug;92;5160157;['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap'];https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn;https://i.scdn.co/image/10ea494021e8341a2b5a8fcc8cd3b9a000cbc878
0hCNtLu0JehylgoiP8L4Gh;Nicki Minaj;92;17609890;['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop'];https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh;https://i.scdn.co/image/1a6476028ced225730a1fe889af3b963dd260259
26VFTg2z8YR0cCuwLzESi2;Halsey;91;10596608;['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop'];https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2;https://i.scdn.co/image/1ccc88afcd13131dc35a1bd028922dbc748a55fb
